username,anime_id,my_watched_episodes,my_start_date,my_finish_date,my_score,my_status,my_rewatching,my_rewatching_ep,my_last_updated,my_tags
karthiga,21,586,0000-00-00,0000-00-00,9,1,,0,1362307973,
karthiga,59,26,0000-00-00,0000-00-00,7,2,,0,1362923691,
karthiga,74,26,0000-00-00,0000-00-00,7,2,,0,1367081015,
karthiga,120,26,0000-00-00,0000-00-00,7,2,,0,1362308037,
karthiga,178,26,0000-00-00,0000-00-00,7,2,0.0,0,1364399953,
karthiga,210,161,0000-00-00,0000-00-00,7,2,,0,1362923826,
karthiga,232,70,0000-00-00,0000-00-00,6,2,,0,1362849882,
karthiga,233,78,0000-00-00,0000-00-00,6,2,,0,1362893384,
karthiga,249,167,0000-00-00,0000-00-00,8,2,,0,1363709086,
karthiga,269,366,0000-00-00,0000-00-00,10,2,,0,1362303563,
karthiga,721,38,0000-00-00,0000-00-00,7,2,,0,1367079833,
karthiga,853,26,0000-00-00,0000-00-00,7,2,,0,1362923847,
karthiga,857,25,0000-00-00,0000-00-00,10,2,0.0,0,1362316795,
karthiga,957,39,0000-00-00,0000-00-00,8,2,,0,1367080458,
karthiga,966,506,0000-00-00,0000-00-00,10,1,,0,1362925799,
karthiga,1557,26,0000-00-00,0000-00-00,8,2,,0,1367764692,
karthiga,1571,25,0000-00-00,0000-00-00,8,2,,0,1367080297,
karthiga,1579,25,0000-00-00,0000-00-00,9,2,,0,1367081073,
karthiga,1698,23,0000-00-00,0000-00-00,7,2,,0,1367079267,
karthiga,1735,303,0000-00-00,0000-00-00,9,1,,0,1362922669,
karthiga,1914,39,0000-00-00,0000-00-00,7,2,,0,1367079894,
karthiga,1974,51,0000-00-00,0000-00-00,8,2,,0,1367079724,
karthiga,2104,26,0000-00-00,0000-00-00,7,2,,0,1367080341,
karthiga,2564,12,0000-00-00,0000-00-00,5,2,,0,1362925187,
karthiga,2787,24,0000-00-00,0000-00-00,8,2,,0,1367080870,
karthiga,3092,12,0000-00-00,0000-00-00,8,2,,0,1367079699,
karthiga,3731,25,0000-00-00,0000-00-00,8,2,,0,1367081125,
karthiga,4224,25,0000-00-00,0000-00-00,6,2,,0,1364832923,
karthiga,4477,11,0000-00-00,0000-00-00,8,2,,0,1367079681,
karthiga,4722,25,0000-00-00,0000-00-00,8,2,,0,1367079585,
karthiga,4814,12,0000-00-00,0000-00-00,7,2,,0,1367079539,
karthiga,5262,51,0000-00-00,0000-00-00,7,2,,0,1367763835,
karthiga,5690,11,0000-00-00,0000-00-00,8,2,,0,1367079563,
karthiga,5835,39,0000-00-00,0000-00-00,7,2,,0,1367080840,
karthiga,6045,25,0000-00-00,0000-00-00,6,2,,0,1362848695,
karthiga,6586,50,0000-00-00,0000-00-00,6,2,,0,1362925110,
karthiga,6645,12,0000-00-00,0000-00-00,5,2,,0,1362924939,
karthiga,7054,26,0000-00-00,0000-00-00,9,2,,0,1362308076,
karthiga,7674,25,0000-00-00,0000-00-00,7,2,,0,1367079743,
karthiga,7817,12,0000-00-00,0000-00-00,5,2,,0,1362849389,
karthiga,9513,60,0000-00-00,0000-00-00,7,2,,0,1362849605,
karthiga,9656,12,0000-00-00,0000-00-00,8,2,,0,1367079656,
karthiga,9863,77,0000-00-00,0000-00-00,7,2,,0,1367078959,
karthiga,9926,12,0000-00-00,0000-00-00,7,2,,0,1367079805,
karthiga,10030,25,0000-00-00,0000-00-00,8,2,,0,1367079325,
karthiga,10800,25,0000-00-00,0000-00-00,7,2,0.0,0,1364739263,
karthiga,11013,12,0000-00-00,0000-00-00,8,2,,0,1367763899,
karthiga,11123,12,0000-00-00,0000-00-00,7,2,,0,1367079389,
karthiga,11759,24,0000-00-00,0000-00-00,5,2,,0,1363529485,
karthiga,12365,25,0000-00-00,0000-00-00,8,2,,0,1367079163,
karthiga,14227,13,0000-00-00,0000-00-00,8,2,,0,1367080635,
karthiga,14397,0,0000-00-00,0000-00-00,7,3,0.0,0,1364739301,
karthiga,14713,13,0000-00-00,0000-00-00,10,2,,0,1362308125,
RedvelvetDaisuki,1,26,2012-00-00,2014-08-08,8,2,,0,1407479649,
RedvelvetDaisuki,7,0,0000-00-00,0000-00-00,0,6,0.0,0,1355478414,
RedvelvetDaisuki,16,4,2013-03-23,0000-00-00,4,3,,0,1364134472,
RedvelvetDaisuki,19,74,2012-12-14,2012-12-19,9,2,,0,1355935732,
RedvelvetDaisuki,20,220,2012-08-00,2012-08-00,9,2,,0,1355471991,
RedvelvetDaisuki,24,0,0000-00-00,0000-00-00,0,6,,0,1359815643,
RedvelvetDaisuki,25,0,0000-00-00,0000-00-00,0,6,0.0,0,1359776811,
RedvelvetDaisuki,26,22,2013-01-24,2013-01-26,6,2,,0,1359207205,
RedvelvetDaisuki,30,26,2015-01-12,2015-01-22,8,2,,0,1421863474,
RedvelvetDaisuki,31,1,2015-01-22,2015-01-22,7,2,,0,1421929558,
RedvelvetDaisuki,32,1,2015-01-22,2015-01-22,9,2,,0,1421929481,
RedvelvetDaisuki,33,1,2015-03-09,0000-00-00,0,1,,0,1425835267,
RedvelvetDaisuki,43,0,0000-00-00,0000-00-00,0,6,,0,1355483005,
RedvelvetDaisuki,44,4,2014-02-25,2014-02-25,9,2,,0,1393697174,
RedvelvetDaisuki,45,94,2014-01-03,2014-02-22,8,2,,0,1393070989,
